STATE,ARSON,cluster_predict
andhra pradesh,1081.0,2.0
arunachal pradesh,48.0,0.0
assam,2050.0,2.0
bihar,934.0,1.0
chhattisgarh,460.0,1.0
goa,41.0,0.0
gujarat,565.0,1.0
haryana,191.0,0.0
himachal pradesh,117.0,0.0
jammu & kashmir,42.0,0.0
jharkhand,153.0,0.0
karnataka,214.0,0.0
kerala,352.0,0.0
madhya pradesh,544.0,1.0
maharashtra,1260.0,1.0
manipur,103.0,0.0
meghalaya,81.0,0.0
mizoram,9.0,0.0
nagaland,7.0,0.0
odisha,611.0,1.0
punjab,119.0,0.0
Rajasthan,186.0,0.0
sikkim,25.0,0.0
tamil nadu,406.0,0.0
tripura,71.0,0.0
uttar pradesh,103.0,0.0
uttarakhand,3.0,0.0
West Bengal,686.0,1.0
andmanbar and nicobar,14.0,0.0
chandigarh,13.0,0.0
dadra,14.0,0.0
daman & diu,7.0,0.0
lakshadweep,4.0,0.0
puducherry,1.0,0.0
