STATE,KIDNAPPING & ABDUCTION,cluster_predict
andhra pradesh,2990.0,1.0
arunachal pradesh,90.0,0.0
assam,5699.0,2.0
bihar,6084.0,2.0
chhattisgarh,660.0,0.0
goa,50.0,0.0
gujarat,2240.0,1.0
haryana,1937.0,1.0
himachal pradesh,259.0,0.0
jammu & kashmir,1391.0,1.0
jharkhand,1622.0,1.0
karnataka,2168.0,1.0
kerala,402.0,0.0
madhya pradesh,1549.0,1.0
maharashtra,2283.0,1.0
manipur,285.0,0.0
meghalaya,110.0,0.0
mizoram,9.0,0.0
nagaland,53.0,0.0
odisha,2082.0,1.0
punjab,1174.0,1.0
rajasthan,3660.0,2.0
sikkim,12.0,0.0
tamil nadu,2878.0,1.0
tripura,165.0,0.0
uttar pradesh,12893.0,2.0
uttarakhand,432.0,0.0
west bengal,7934.0,2.0
andabar and nicobar,27.0,0.0
chandigarh,71.0,0.0
Dadar,21.0,0.0
daman & diu,1.0,0.0
lakshadweep,1.0,0.0
puducherry,28.0,0.0
